City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
271,Okakarara,NA,-20.58,17.43,40.84,64,0,3.15,clear sky,0.0,0
272,Xining,CN,36.62,101.77,69.01,29,0,1.7,clear sky,0.0,0
273,Palu,ID,-0.89,119.87,80.42,80,98,1.86,light rain,0.92,0
274,Pisco,PE,-13.7,-76.22,59.0,93,2,4.7,clear sky,0.0,0
275,Inhambane,MZ,-23.86,35.38,67.51,64,0,11.59,clear sky,0.0,0
276,Dukat,RU,62.55,155.55,64.83,36,30,14.72,scattered clouds,0.0,0
277,Wiwili,NI,13.63,-85.83,70.81,88,100,2.26,overcast clouds,0.0,0
278,Kampot,KH,10.62,104.18,80.6,88,75,8.05,broken clouds,0.0,0
279,Carolina,PR,18.38,-65.96,84.2,83,40,12.75,haze,0.0,0
280,Sangar,RU,63.92,127.47,81.21,40,48,3.71,scattered clouds,0.0,0
281,Srednekolymsk,RU,67.45,153.68,58.69,32,100,8.1,overcast clouds,0.0,0
282,Lethem,GY,3.38,-59.8,75.85,85,95,5.37,light rain,0.73,0
283,Tura,IN,25.52,90.22,80.13,89,46,5.88,light rain,0.87,0
284,Saint-Denis,FR,48.92,2.33,63.0,67,75,10.29,broken clouds,0.0,0
285,Manzil Salim,TN,35.86,8.48,64.4,77,20,3.36,few clouds,0.0,0
286,East London,ZA,-33.02,27.91,55.4,76,100,6.93,overcast clouds,0.0,0
287,Gadung,PH,6.8,124.02,81.21,78,53,5.41,light rain,0.18,0
288,Williamsburg,US,37.27,-76.71,80.6,69,1,3.36,clear sky,0.0,0
289,Hare Bay,CA,48.85,-54.01,55.4,100,90,4.7,fog,0.0,0
290,Milkovo,RU,54.72,158.62,76.55,42,0,1.92,clear sky,0.0,0
291,Silvan,TR,38.14,41.01,68.0,64,27,2.24,scattered clouds,0.0,0
292,Coahuayana,MX,18.73,-103.68,80.19,71,100,3.51,overcast clouds,0.0,0
293,Gravdal,NO,68.12,13.5,55.13,68,100,14.05,overcast clouds,0.0,0
294,Akcaabat,TR,41.02,39.57,73.4,69,75,6.93,broken clouds,0.0,0
295,Kaitangata,NZ,-46.28,169.85,50.0,92,100,5.99,light rain,0.62,0
296,Durango,MX,24.83,-104.83,63.97,76,100,3.87,overcast clouds,0.0,0
297,Invermere,CA,50.52,-116.04,50.0,86,89,0.78,overcast clouds,0.0,0
298,Pangnirtung,CA,66.15,-65.71,45.54,72,81,2.04,broken clouds,0.0,0
299,Aranos,NA,-24.13,19.12,41.92,61,0,4.09,clear sky,0.0,0
300,Barranca De Upia,CO,4.57,-72.97,73.11,87,98,1.92,overcast clouds,0.0,0
301,Sur,OM,22.57,59.53,86.59,66,47,12.26,scattered clouds,0.0,0
302,Saint-Augustin,CA,51.23,-58.65,50.27,84,100,15.77,overcast clouds,0.0,0
303,Montijo,PT,38.71,-8.97,66.2,88,75,8.05,broken clouds,0.0,0
304,Porbandar,IN,21.64,69.61,86.88,76,97,11.34,overcast clouds,0.0,0
305,Kloulklubed,PW,7.04,134.26,84.2,74,90,6.93,overcast clouds,0.0,0
306,Ayan,RU,56.45,138.17,48.6,83,20,1.92,few clouds,0.0,0
307,Nianzishan,CN,47.52,122.88,82.65,40,27,2.89,scattered clouds,0.0,0
308,Gemena,CD,3.25,19.77,69.08,97,85,0.83,overcast clouds,0.0,0
309,Teeli,RU,51.03,90.23,70.03,47,29,3.15,scattered clouds,0.0,0
310,Bereda,ES,43.27,-7.54,57.0,100,45,5.01,scattered clouds,0.0,0
